InteractorA,Relation,InteractorB,PMID
CPR:4,INHIBITOR,"Arg1:T8 , Arg2:T26",23446230
CPR:9,PRODUCT-OF,"Arg1:T2 , Arg2:T10",23446230
CPR:9,PRODUCT-OF,"Arg1:T2 , Arg2:T17",23446230
CPR:9,PRODUCT-OF,"Arg1:T4 , Arg2:T16",23446230
CPR:9,PRODUCT-OF,"Arg1:T7 , Arg2:T10",23446230
CPR:9,PRODUCT-OF,"Arg1:T7 , Arg2:T17",23446230
CPR:9,SUBSTRATE,"Arg1:T5 , Arg2:T10",23446230
CPR:9,SUBSTRATE,"Arg1:T5 , Arg2:T17",23446230
CPR:2,DIRECT-REGULATOR,"Arg1:T7 , Arg2:T10",23453039
CPR:2,DIRECT-REGULATOR,"Arg1:T7 , Arg2:T15",23453039
CPR:2,DIRECT-REGULATOR,"Arg1:T7 , Arg2:T22",23453039
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T8 , Arg2:T28",23453039
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T10",23453071
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T13",23453071
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T10",23453071
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T13",23453071
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T11",23453071
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T12",23453071
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T14",23453071
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T15",23453071
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T16",23453071
CPR:4,DOWNREGULATOR,"Arg1:T13 , Arg2:T23",23454149
CPR:4,DOWNREGULATOR,"Arg1:T13 , Arg2:T24",23454149
CPR:4,DOWNREGULATOR,"Arg1:T1 , Arg2:T14",23454149
CPR:4,DOWNREGULATOR,"Arg1:T1 , Arg2:T15",23454149
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T12 , Arg2:T18",23454149
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T12 , Arg2:T19",23454149
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T12 , Arg2:T20",23454149
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T12 , Arg2:T21",23454149
CPR:4,INHIBITOR,"Arg1:T11 , Arg2:T17",23454149
CPR:4,INHIBITOR,"Arg1:T13 , Arg2:T22",23454149
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T16",23454149
CPR:2,REGULATOR,"Arg1:T6 , Arg2:T11",23454835
CPR:10,NOT,"Arg1:T11 , Arg2:T22",23455314
CPR:10,NOT,"Arg1:T11 , Arg2:T23",23455314
CPR:1,PART-OF,"Arg1:T12 , Arg2:T22",23455314
CPR:10,NOT,"Arg1:T3 , Arg2:T20",23458730
CPR:4,INHIBITOR,"Arg1:T17 , Arg2:T27",23458730
CPR:4,INHIBITOR,"Arg1:T17 , Arg2:T28",23458730
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T19",23458730
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T21",23458730
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T22",23458730
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T23",23458730
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T24",23458730
CPR:4,INHIBITOR,"Arg1:T9 , Arg2:T25",23458730
CPR:4,INHIBITOR,"Arg1:T9 , Arg2:T26",23458730
CPR:9,SUBSTRATE,"Arg1:T18 , Arg2:T27",23458730
CPR:9,SUBSTRATE,"Arg1:T18 , Arg2:T28",23458730
CPR:9,SUBSTRATE,"Arg1:T5 , Arg2:T21",23458730
CPR:9,SUBSTRATE,"Arg1:T5 , Arg2:T22",23458730
CPR:9,SUBSTRATE,"Arg1:T7 , Arg2:T23",23458730
CPR:9,SUBSTRATE,"Arg1:T7 , Arg2:T24",23458730
CPR:9,SUBSTRATE,"Arg1:T8 , Arg2:T23",23458730
CPR:9,SUBSTRATE,"Arg1:T8 , Arg2:T24",23458730
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T25",23459167
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T26",23459167
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T27",23459167
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T28",23459167
CPR:2,REGULATOR,"Arg1:T9 , Arg2:T31",23459167
CPR:2,REGULATOR,"Arg1:T9 , Arg2:T32",23459167
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T8",23465612
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T9",23465612
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T8",23466229
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T8",23466229
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T7",23466229
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T10",23466229
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T10",23466229
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T13",23466232
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T9",23466232
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T14",23466232
CPR:2,REGULATOR,"Arg1:T12 , Arg2:T26",23473032
CPR:2,DIRECT-REGULATOR,"Arg1:T1 , Arg2:T11",23473681
CPR:2,DIRECT-REGULATOR,"Arg1:T1 , Arg2:T12",23473681
CPR:2,DIRECT-REGULATOR,"Arg1:T7 , Arg2:T19",23473681
CPR:2,DIRECT-REGULATOR,"Arg1:T8 , Arg2:T19",23473681
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T20",23473681
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T21",23473681
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T22",23473681
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T13",23473681
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T14",23473681
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T15",23473681
CPR:2,REGULATOR,"Arg1:T15 , Arg2:T30",23473804
CPR:2,REGULATOR,"Arg1:T15 , Arg2:T31",23473804
CPR:2,REGULATOR,"Arg1:T16 , Arg2:T30",23473804
CPR:2,REGULATOR,"Arg1:T16 , Arg2:T31",23473804
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T28",23473804
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T29",23473804
CPR:3,ACTIVATOR,"Arg1:T15 , Arg2:T32",23473804
CPR:3,ACTIVATOR,"Arg1:T15 , Arg2:T33",23473804
CPR:3,ACTIVATOR,"Arg1:T16 , Arg2:T32",23473804
CPR:3,ACTIVATOR,"Arg1:T16 , Arg2:T33",23473804
CPR:2,REGULATOR,"Arg1:T8 , Arg2:T25",23474889
CPR:5,AGONIST,"Arg1:T3 , Arg2:T24",23474889
CPR:10,NOT,"Arg1:T10 , Arg2:T53",23478800
CPR:10,NOT,"Arg1:T11 , Arg2:T54",23478800
CPR:10,NOT,"Arg1:T11 , Arg2:T55",23478800
CPR:10,NOT,"Arg1:T13 , Arg2:T56",23478800
CPR:10,NOT,"Arg1:T13 , Arg2:T57",23478800
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T17",23478800
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T18",23478800
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T19",23478800
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T20",23478800
CPR:3,ACTIVATOR,"Arg1:T2 , Arg2:T25",23478800
CPR:3,ACTIVATOR,"Arg1:T4 , Arg2:T27",23478800
CPR:4,INHIBITOR,"Arg1:T13 , Arg2:T58",23478800
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T23",23478800
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T27",23478800
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T32",23478800
CPR:4,INHIBITOR,"Arg1:T9 , Arg2:T46",23478800
CPR:4,INHIBITOR,"Arg1:T9 , Arg2:T47",23478800
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T8",23479389
CPR:6,ANTAGONIST,"Arg1:T1 , Arg2:T5",23479389
CPR:6,ANTAGONIST,"Arg1:T3 , Arg2:T9",23479389
CPR:1,PART-OF,"Arg1:T1 , Arg2:T51",23481236
CPR:1,PART-OF,"Arg1:T22 , Arg2:T51",23481236
CPR:1,PART-OF,"Arg1:T23 , Arg2:T51",23481236
CPR:1,PART-OF,"Arg1:T24 , Arg2:T51",23481236
CPR:1,PART-OF,"Arg1:T4 , Arg2:T27",23481236
CPR:1,PART-OF,"Arg1:T7 , Arg2:T31",23481236
CPR:1,PART-OF,"Arg1:T8 , Arg2:T35",23481236
CPR:2,DIRECT-REGULATOR,"Arg1:T10 , Arg2:T44",23481236
CPR:2,DIRECT-REGULATOR,"Arg1:T11 , Arg2:T44",23481236
CPR:2,DIRECT-REGULATOR,"Arg1:T12 , Arg2:T44",23481236
CPR:2,DIRECT-REGULATOR,"Arg1:T13 , Arg2:T44",23481236
CPR:2,DIRECT-REGULATOR,"Arg1:T14 , Arg2:T44",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T10 , Arg2:T43",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T10 , Arg2:T44",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T11 , Arg2:T43",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T11 , Arg2:T44",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T12 , Arg2:T43",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T12 , Arg2:T44",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T43",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T44",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T14 , Arg2:T43",23481236
CPR:2,INDIRECT-REGULATOR,"Arg1:T14 , Arg2:T44",23481236
CPR:3,ACTIVATOR,"Arg1:T2 , Arg2:T27",23481236
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T2 , Arg2:T26",23481236
CPR:3,UPREGULATOR,"Arg1:T2 , Arg2:T25",23481236
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T17 , Arg2:T47",23481236
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T6 , Arg2:T30",23481236
CPR:4,INHIBITOR,"Arg1:T17 , Arg2:T46",23481236
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T31",23481236
CPR:5,AGONIST,"Arg1:T1 , Arg2:T15",23487168
CPR:6,ANTAGONIST,"Arg1:T1 , Arg2:T14",23487168
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T1 , Arg2:T2",23489521
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T5",23489628
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T6",23489628
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T11",23489628
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T12",23489628
CPR:2,DIRECT-REGULATOR,"Arg1:T17 , Arg2:T50",23493374
CPR:2,DIRECT-REGULATOR,"Arg1:T1 , Arg2:T20",23493374
CPR:2,DIRECT-REGULATOR,"Arg1:T2 , Arg2:T26",23493374
CPR:2,DIRECT-REGULATOR,"Arg1:T7 , Arg2:T38",23493374
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T12 , Arg2:T43",23493374
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T13 , Arg2:T43",23493374
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T14 , Arg2:T46",23493374
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T3 , Arg2:T28",23493374
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T3 , Arg2:T29",23493374
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T4 , Arg2:T28",23493374
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T4 , Arg2:T29",23493374
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T11",23494186
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T11",23494186
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T11",23494186
CPR:4,INHIBITOR,"Arg1:T12 , Arg2:T19",23495205
CPR:4,INHIBITOR,"Arg1:T12 , Arg2:T20",23495205
CPR:4,INHIBITOR,"Arg1:T14 , Arg2:T21",23495205
CPR:4,INHIBITOR,"Arg1:T15 , Arg2:T17",23495205
CPR:4,INHIBITOR,"Arg1:T15 , Arg2:T18",23495205
CPR:4,INHIBITOR,"Arg1:T16 , Arg2:T22",23495205
CPR:4,INHIBITOR,"Arg1:T16 , Arg2:T23",23495205
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T17",23495205
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T18",23495205
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T17",23495205
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T18",23495205
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T17",23495205
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T18",23495205
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T11",23497227
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T6",23497227
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T12",23497227
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T30",23500382
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T31",23500382
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T32",23500382
CPR:2,INDIRECT-REGULATOR,"Arg1:T13 , Arg2:T33",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T24",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T25",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T26",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T27",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T28",23500382
CPR:2,REGULATOR,"Arg1:T18 , Arg2:T29",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T24",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T25",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T26",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T27",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T28",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T13 , Arg2:T29",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T19 , Arg2:T22",23500382
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T19 , Arg2:T23",23500382
CPR:2,REGULATOR,"Arg1:T12 , Arg2:T20",23500545
CPR:2,REGULATOR,"Arg1:T13 , Arg2:T21",23500545
CPR:2,REGULATOR,"Arg1:T13 , Arg2:T22",23500545
CPR:2,REGULATOR,"Arg1:T13 , Arg2:T23",23500545
CPR:9,SUBSTRATE,"Arg1:T11 , Arg2:T20",23500545
CPR:3,ACTIVATOR,"Arg1:T11 , Arg2:T25",23500772
CPR:3,ACTIVATOR,"Arg1:T1 , Arg2:T15",23500772
CPR:3,ACTIVATOR,"Arg1:T2 , Arg2:T15",23500772
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T9 , Arg2:T23",23500772
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T9 , Arg2:T24",23500772
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T6 , Arg2:T20",23500772
CPR:2,REGULATOR,"Arg1:T4 , Arg2:T15",23500776
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T22",23500776
CPR:3,ACTIVATOR,"Arg1:T3 , Arg2:T19",23500776
CPR:3,ACTIVATOR,"Arg1:T5 , Arg2:T19",23500776
CPR:2,REGULATOR,"Arg1:T4 , Arg2:T19",23506741
CPR:2,REGULATOR,"Arg1:T5 , Arg2:T19",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T14",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T15",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T16",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T21",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T22",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T23",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T24",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T25",23506741
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T9 , Arg2:T26",23506741
CPR:4,INHIBITOR,"Arg1:T11 , Arg2:T27",23506741
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T13",23506741
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T17",23506741
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T18",23506741
CPR:4,INHIBITOR,"Arg1:T8 , Arg2:T20",23506741
CPR:2,REGULATOR,"Arg1:T3 , Arg2:T7",23514378
CPR:2,REGULATOR,"Arg1:T14 , Arg2:T30",23517912
CPR:2,REGULATOR,"Arg1:T14 , Arg2:T31",23517912
CPR:2,REGULATOR,"Arg1:T14 , Arg2:T32",23517912
CPR:2,REGULATOR,"Arg1:T14 , Arg2:T33",23517912
CPR:2,REGULATOR,"Arg1:T14 , Arg2:T34",23517912
CPR:2,REGULATOR,"Arg1:T16 , Arg2:T38",23517912
CPR:2,REGULATOR,"Arg1:T16 , Arg2:T39",23517912
CPR:2,REGULATOR,"Arg1:T16 , Arg2:T40",23517912
CPR:2,REGULATOR,"Arg1:T19 , Arg2:T44",23517912
CPR:2,REGULATOR,"Arg1:T5 , Arg2:T22",23517912
CPR:2,REGULATOR,"Arg1:T6 , Arg2:T23",23517912
CPR:2,REGULATOR,"Arg1:T9 , Arg2:T28",23517912
CPR:2,REGULATOR,"Arg1:T9 , Arg2:T29",23517912
CPR:4,DOWNREGULATOR,"Arg1:T16 , Arg2:T37",23517912
CPR:4,DOWNREGULATOR,"Arg1:T4 , Arg2:T21",23517912
CPR:4,INHIBITOR,"Arg1:T10 , Arg2:T24",23517912
CPR:4,INHIBITOR,"Arg1:T10 , Arg2:T25",23517912
CPR:4,INHIBITOR,"Arg1:T10 , Arg2:T26",23517912
CPR:4,INHIBITOR,"Arg1:T11 , Arg2:T27",23517912
CPR:4,INHIBITOR,"Arg1:T15 , Arg2:T35",23517912
CPR:4,INHIBITOR,"Arg1:T15 , Arg2:T36",23517912
CPR:4,INHIBITOR,"Arg1:T18 , Arg2:T42",23517912
CPR:4,INHIBITOR,"Arg1:T18 , Arg2:T43",23517912
CPR:10,NOT,"Arg1:T8 , Arg2:T12",23519392
CPR:2,DIRECT-REGULATOR,"Arg1:T6 , Arg2:T19",23519392
CPR:3,ACTIVATOR,"Arg1:T3 , Arg2:T13",23519392
CPR:3,ACTIVATOR,"Arg1:T7 , Arg2:T20",23519392
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T7 , Arg2:T21",23519392
CPR:4,INHIBITOR,"Arg1:T10 , Arg2:T23",23519392
CPR:5,AGONIST,"Arg1:T5 , Arg2:T18",23519392
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T11",23521080
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T12",23521080
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T11",23521080
CPR:4,INHIBITOR,"Arg1:T2 , Arg2:T12",23521080
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T11",23521080
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T12",23521080
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T13",23521080
CPR:4,INHIBITOR,"Arg1:T7 , Arg2:T13",23521080
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T3",23522834
CPR:3,ACTIVATOR,"Arg1:T6 , Arg2:T34",23523949
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T1 , Arg2:T34",23523949
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T22 , Arg2:T44",23523949
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T2 , Arg2:T34",23523949
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T6 , Arg2:T35",23523949
CPR:3,UPREGULATOR,"Arg1:T6 , Arg2:T32",23523949
CPR:4,DOWNREGULATOR,"Arg1:T1 , Arg2:T35",23523949
CPR:4,DOWNREGULATOR,"Arg1:T6 , Arg2:T33",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T1 , Arg2:T31",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T1 , Arg2:T32",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T1 , Arg2:T33",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T31",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T32",23523949
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T2 , Arg2:T33",23523949
CPR:2,INDIRECT-REGULATOR,"Arg1:T5 , Arg2:T31",23528251
CPR:2,REGULATOR,"Arg1:T4 , Arg2:T21",23528251
CPR:2,REGULATOR,"Arg1:T5 , Arg2:T28",23528251
CPR:2,REGULATOR,"Arg1:T5 , Arg2:T32",23528251
CPR:3,ACTIVATOR,"Arg1:T4 , Arg2:T20",23528251
CPR:3,ACTIVATOR,"Arg1:T5 , Arg2:T27",23528251
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T4 , Arg2:T22",23528251
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T4 , Arg2:T23",23528251
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T4 , Arg2:T24",23528251
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T5 , Arg2:T29",23528251
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T5 , Arg2:T30",23528251
CPR:10,NOT,"Arg1:T1 , Arg2:T35",23530018
CPR:2,REGULATOR,"Arg1:T10 , Arg2:T30",23530018
CPR:2,REGULATOR,"Arg1:T24 , Arg2:T36",23530018
CPR:2,REGULATOR,"Arg1:T24 , Arg2:T37",23530018
CPR:2,REGULATOR,"Arg1:T24 , Arg2:T38",23530018
CPR:2,REGULATOR,"Arg1:T5 , Arg2:T27",23530018
CPR:2,REGULATOR,"Arg1:T6 , Arg2:T27",23530018
CPR:2,REGULATOR,"Arg1:T7 , Arg2:T27",23530018
CPR:2,REGULATOR,"Arg1:T9 , Arg2:T30",23530018
CPR:4,INHIBITOR,"Arg1:T15 , Arg2:T32",23530018
CPR:4,INHIBITOR,"Arg1:T19 , Arg2:T33",23530018
CPR:4,INHIBITOR,"Arg1:T21 , Arg2:T34",23530018
CPR:9,SUBSTRATE,"Arg1:T11 , Arg2:T30",23530018
CPR:9,SUBSTRATE,"Arg1:T12 , Arg2:T30",23530018
CPR:9,SUBSTRATE,"Arg1:T17 , Arg2:T32",23530018
CPR:9,SUBSTRATE,"Arg1:T20 , Arg2:T33",23530018
CPR:9,SUBSTRATE,"Arg1:T22 , Arg2:T34",23530018
CPR:3,INDIRECT-UPREGULATOR,"Arg1:T4 , Arg2:T17",23531031
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T14",23531031
CPR:1,PART-OF,"Arg1:T3 , Arg2:T17",23531488
CPR:1,PART-OF,"Arg1:T3 , Arg2:T18",23531488
CPR:1,PART-OF,"Arg1:T4 , Arg2:T17",23531488
CPR:1,PART-OF,"Arg1:T5 , Arg2:T19",23531488
CPR:9,SUBSTRATE,"Arg1:T1 , Arg2:T7",23531488
CPR:9,SUBSTRATE,"Arg1:T2 , Arg2:T7",23531488
CPR:9,PRODUCT-OF,"Arg1:T1 , Arg2:T28",23532634
CPR:9,PRODUCT-OF,"Arg1:T6 , Arg2:T30",23532634
CPR:9,PRODUCT-OF,"Arg1:T7 , Arg2:T30",23532634
CPR:9,PRODUCT-OF,"Arg1:T8 , Arg2:T30",23532634
CPR:2,DIRECT-REGULATOR,"Arg1:T10 , Arg2:T25",23532918
CPR:6,ANTAGONIST,"Arg1:T16 , Arg2:T26",23532918
CPR:6,ANTAGONIST,"Arg1:T16 , Arg2:T27",23532918
CPR:6,ANTAGONIST,"Arg1:T16 , Arg2:T28",23532918
CPR:6,ANTAGONIST,"Arg1:T17 , Arg2:T26",23532918
CPR:6,ANTAGONIST,"Arg1:T17 , Arg2:T27",23532918
CPR:6,ANTAGONIST,"Arg1:T17 , Arg2:T28",23532918
CPR:6,ANTAGONIST,"Arg1:T9 , Arg2:T24",23532918
CPR:2,DIRECT-REGULATOR,"Arg1:T1 , Arg2:T18",23534442
CPR:4,INHIBITOR,"Arg1:T11 , Arg2:T20",23534442
CPR:4,INHIBITOR,"Arg1:T16 , Arg2:T23",23534442
CPR:4,INHIBITOR,"Arg1:T17 , Arg2:T23",23534442
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T19",23534442
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T19",23534442
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T19",23534442
CPR:4,INHIBITOR,"Arg1:T6 , Arg2:T19",23534442
CPR:4,INHIBITOR,"Arg1:T7 , Arg2:T19",23534442
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T6",23535327
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T7",23535327
CPR:2,DIRECT-REGULATOR,"Arg1:T1 , Arg2:T10",23535394
CPR:2,REGULATOR,"Arg1:T3 , Arg2:T11",23535394
CPR:1,PART-OF,"Arg1:T1 , Arg2:T7",23535516
CPR:1,PART-OF,"Arg1:T1 , Arg2:T8",23535516
CPR:1,PART-OF,"Arg1:T2 , Arg2:T7",23535516
CPR:1,PART-OF,"Arg1:T2 , Arg2:T8",23535516
CPR:4,INHIBITOR,"Arg1:T3 , Arg2:T30",23535516
CPR:4,INHIBITOR,"Arg1:T4 , Arg2:T31",23535516
CPR:4,INHIBITOR,"Arg1:T13 , Arg2:T22",23536521
CPR:2,REGULATOR,"Arg1:T11 , Arg2:T26",23538162
CPR:2,REGULATOR,"Arg1:T1 , Arg2:T14",23538162
CPR:2,REGULATOR,"Arg1:T1 , Arg2:T15",23538162
CPR:3,ACTIVATOR,"Arg1:T11 , Arg2:T27",23538162
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T30",23538162
CPR:3,ACTIVATOR,"Arg1:T12 , Arg2:T31",23538162
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T11 , Arg2:T28",23538162
CPR:4,INDIRECT-DOWNREGULATOR,"Arg1:T5 , Arg2:T20",23538162
CPR:4,INHIBITOR,"Arg1:T11 , Arg2:T25",23538162
CPR:4,INHIBITOR,"Arg1:T12 , Arg2:T29",23538162
CPR:4,INHIBITOR,"Arg1:T1 , Arg2:T13",23538162
CPR:4,INHIBITOR,"Arg1:T5 , Arg2:T19",23538162
CPR:4,INHIBITOR,"Arg1:T8 , Arg2:T23",23538162
CPR:6,ANTAGONIST,"Arg1:T10 , Arg2:T24",23538162
CPR:6,ANTAGONIST,"Arg1:T7 , Arg2:T21",23538162
CPR:6,ANTAGONIST,"Arg1:T7 , Arg2:T22",23538162
CPR:10,NOT,"Arg1:T4 , Arg2:T30",23539296
CPR:10,NOT,"Arg1:T4 , Arg2:T31",23539296
CPR:2,DIRECT-REGULATOR,"Arg1:T2 , Arg2:T23",23539296
